Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,1.125000,1.125000,1.125000,1.125000,0.910128,19999
1996-01-02,1.037500,1.037500,1.037500,1.037500,0.839340,39999
1996-01-03,1.075000,1.075000,1.075000,1.075000,0.869677,19999
1996-01-04,1.075000,1.075000,1.075000,1.075000,0.869677,119999
1996-01-05,1.075000,1.075000,1.075000,1.075000,0.869677,0
1996-01-08,1.075000,1.075000,1.075000,1.075000,0.869677,0
1996-01-09,1.082500,1.082500,1.075000,1.075000,0.869677,39999
1996-01-10,1.075000,1.076500,1.075000,1.076500,0.870891,59999
1996-01-11,1.076500,1.087500,1.065000,1.075000,0.869677,79999
1996-01-12,1.075000,1.075000,1.075000,1.075000,0.869677,19999
1996-01-15,1.075000,1.075000,1.075000,1.075000,0.869677,0
1996-01-16,1.050000,1.050000,1.050000,1.050000,0.849452,19999
1996-01-17,1.050000,1.050000,1.050000,1.050000,0.849452,0
1996-01-18,1.050000,1.070000,1.070000,1.070000,0.865633,19999
1996-01-19,1.055000,1.055000,1.050000,1.050000,0.849452,39999
1996-01-22,1.030125,1.070000,1.030125,1.070000,0.865633,99999
1996-01-23,1.070000,1.050000,1.050000,1.050000,0.849452,79999
1996-01-24,1.047500,1.050000,1.047500,1.050000,0.849452,39999
1996-01-25,1.048750,1.051250,1.037500,1.050000,0.849452,619999
1996-01-26,1.050000,1.050000,1.050000,1.050000,0.849452,0
1996-01-29,1.037500,1.051250,1.037500,1.050000,0.849452,439999
1996-01-30,1.050000,1.049875,1.000125,1.041375,0.842475,119999
1996-01-31,1.041375,1.041375,1.041375,1.041375,0.842475,0
1996-02-01,1.041375,1.041375,1.041375,1.041375,0.842475,0
1996-02-02,1.062500,1.075000,1.062500,1.075000,0.869677,39999
1996-02-05,1.075000,1.075000,1.075000,1.075000,0.869677,0
1996-02-06,1.050000,1.050000,1.050000,1.050000,0.849452,79999
1996-02-07,1.050000,1.050000,1.050000,1.050000,0.849452,0
1996-02-08,1.050000,1.050000,1.050000,1.050000,0.849452,0
1996-02-09,1.050000,1.050000,1.050000,1.050000,0.849452,0
1996-02-12,1.074750,1.074750,1.074750,1.074750,0.869475,39999
1996-02-13,1.074750,1.074750,1.074750,1.074750,0.869475,0
